,Movie Name,Year of Release,Runtime,Genre,Movie Rating,Metascore of Movie,Votes,Gross,Description
63,Léon: The Professional,1994,110 ,"Action, Crime, Drama",8.5,64,1190122,$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
64,Taxi Driver,1976,114 ,"Crime, Drama",8.2,94,864801,$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
65,Django Unchained,2012,165 ,"Drama, Western",8.4,81,1600530,$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
66,The Goonies,1985,114 ,"Adventure, Comedy, Family",7.7,62,285113,$61.50M,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
67,Knives Out,2019,130 ,"Comedy, Crime, Drama",7.9,82,727886,$165.36M,"A detective investigates the death of the patriarch of an eccentric, combative family."
68,Requiem for a Dream,2000,102 ,Drama,8.3,71,862111,$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
69,Shutter Island,2010,138 ,"Mystery, Thriller",8.2,63,1362129,$128.01M,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
70,Joker,2019,122 ,"Crime, Drama, Thriller",8.4,59,1355936,$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
71,The Grand Budapest Hotel,2014,99 ,"Adventure, Comedy, Crime",8.1,88,839402,$59.10M,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
72,Gladiator,2000,155 ,"Action, Adventure, Drama",8.5,67,1537083,$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
73,Star Wars: Episode IV - A New Hope,1977,121 ,"Action, Adventure, Fantasy",8.6,90,1394408,$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
74,Jaws,1975,124 ,"Adventure, Mystery, Thriller",8.1,87,624510,$260.00M,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
75,The Prestige,2006,130 ,"Drama, Mystery, Sci-Fi",8.5,66,1365347,$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
76,No Country for Old Men,2007,122 ,"Crime, Drama, Thriller",8.2,92,1002294,$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
77,Avengers: Infinity War,2018,149 ,"Action, Adventure, Sci-Fi",8.4,68,1124756,$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
78,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 ,"Action, Adventure, Fantasy",8.1,63,1154325,$305.41M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
